ID_PRODUCTO;ID_COMPONENTE;CANTIDAD
ABT_65_63-90;CUE0003;0,5
ABT_65_63-93;CUE0003;0,5
CONEC_AT_100_95-131;CUE0006;1
CONEC_AT_125_130-160;CUE0007;1
CONEC_AT_175_184-210;CUE0008;1
CONEC_AT_40_45-63;CUE0001;1
CONEC_AT_40_45-65;CUE0001;1
CONEC_AT_50_52-75;CUE0002;1
CONEC_AT_65_63-90;CUE0003;1
CONEC_AT_65_63-93;CUE0003;1
CONEC_AT_80_75-106;CUE0004;1
CONEC_AT_80_85-116;CUE0005;1
ABT_100_95-131;CUE0006;0,5
ABT_125_130-160;CUE0007;0,5
ABT_175_184-210;CUE0008;0,5
ABT_40_45-63;CUE0001;0,5
ABT_40_45-65;CUE0001;0,5
ABT_50_52-75;CUE0002;0,5
ABT_65_63-90;CUE0003;0,5
ABT_65_63-93;CUE0003;0,5
ABT_80_75-106;CUE0004;0,5
ABT_80_85-116;CUE0005;0,5
